OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"2018-074D","ARIANE 5 DEB (SYLDA)","43635","FR","631.82","5.95","35753","272","","0","2018-09-25",""
"2018-074C","ARIANE 5 R/B","43634","FR","631.26","5.94","35727","269","","0","2018-09-25",""
"2018-074B","OBJECT B","43633","TBD","630.64","5.95","35693","272","","0","2018-09-25",""
"2018-074A","OBJECT A","43632","TBD","728.26","3.57","35944","4927","","0","2018-09-25",""
"2013-065D","CZ-4C R/B DEB","43631","PRC","104.59","100.60","1135","815","","0","2013-11-20",""
"2018-073A","HTV-7","43630","JPN","92.68","51.64","409","403","","0","2018-09-22",""
"2013-065G","CZ-4C R/B DEB","43629","PRC","106.25","100.92","1144","962","","0","2013-11-20",""
"2013-065F","CZ-4C R/B DEB","43628","PRC","103.00","100.50","1102","699","","0","2013-11-20",""
"2013-065E","CZ-4C R/B DEB","43627","PRC","104.48","100.55","1134","806","","0","2013-11-20",""
"2016-056C","OFEQ 11 DEB","43626","ISRA","93.47","141.96","446","443","SMALL","0","2016-09-13",""
"2018-072D","YZ-1 R/B","43625","PRC","811.45","54.79","22699","22181","","0","2018-09-19",""
"2018-072C","CZ-3B R/B","43624","PRC","326.20","54.97","18434","203","LARGE","0","2018-09-19",""
"2018-072B","BEIDOU 3M14","43623","PRC","787.31","54.97","22193","21538","","0","2018-09-19",""
"2018-072A","BEIDOU 3M13","43622","PRC","787.20","54.97","22193","21533","","0","2018-09-19",""
"1998-067PM","REMDEB-NET","43621","UK","92.54","51.65","401","397","MEDIUM","0","1998-11-20",""
"2018-071C","PSLV R/B","43620","IND","96.60","97.71","617","574","LARGE","0","2018-09-16",""
"2018-071B","NOVASAR 1","43619","UK","96.34","97.82","593","574","LARGE","0","2018-09-16",""
"2018-071A","SSTL S1-4","43618","UK","96.33","97.82","592","574","LARGE","0","2018-09-16",""
"2018-070E","OBJECT E","43617","US","93.73","93.02","467","447","SMALL","0","2018-09-15",""
